City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
Saskylakh,64,RU,1552407535,65,71.97,114.09,-20.24,1.41
Kapaa,40,US,1552406506,78,22.08,-159.32,22.0,6.2
Qaqortoq,75,GL,1552405800,37,60.72,-46.03,2.0,10.51
Charagua,90,BO,1552402800,94,-19.79,-63.2,21.0,3.11
High Level,20,CA,1552406400,67,58.52,-117.13,-5.0,1.0
Vardo,1,US,1552407496,38,39.62,-77.74,7.22,4.1
Provideniya,0,RU,1552407536,100,64.42,-173.23,-17.57,8.41
Nikolskoye,90,RU,1552407335,92,59.7,30.79,-2.78,4.0
Richards Bay,76,ZA,1552407537,82,-28.77,32.06,24.96,4.56
Koson,20,UZ,1552404600,44,39.04,65.59,15.0,2.1
Saint George,75,GR,1552407210,71,39.45,22.34,11.0,4.6
Saldanha,12,PT,1552407457,39,41.42,-6.55,18.46,5.81
Esperance,20,TT,1552407394,66,10.24,-61.45,29.0,7.2
East London,0,ZA,1552402800,83,-33.02,27.91,25.0,5.7
Montepuez,56,MZ,1552407538,76,-13.13,39.0,27.31,2.41
Jamestown,8,AU,1552407538,89,-33.21,138.6,9.29,2.16
Ust-Kulom,92,RU,1552407539,92,61.69,53.69,1.01,1.86
Samarai,92,PG,1552407539,100,-10.62,150.67,25.01,2.36
Cidreira,88,BR,1552407589,89,-30.17,-50.22,24.44,3.41
Lavrentiya,32,RU,1552407589,95,65.58,-170.99,-17.72,15.21
Chuy,100,UY,1552407589,100,-33.69,-53.46,21.54,5.56
Burnie,24,AU,1552407484,94,-41.05,145.91,4.44,0.89
Sitka,92,US,1552406443,98,37.17,-99.65,8.89,5.36
Grand Gaube,40,MU,1552407246,78,-20.01,57.66,28.0,1.0
Chateau-Gontier,92,FR,1552407425,93,47.83,-0.7,12.22,8.2
Fare,92,PF,1552407590,100,-16.7,-151.02,26.86,5.36
Okhotsk,80,RU,1552407590,100,59.36,143.24,-11.34,2.16
Tasiilaq,75,GL,1552405800,79,65.61,-37.64,-5.0,1.0
Khatanga,0,RU,1552407584,72,71.98,102.47,-21.34,4.26
Ilulissat,20,GL,1552405800,46,69.22,-51.1,-13.0,2.1
Vaini,12,IN,1552407518,51,15.34,74.49,25.84,2.21
Pangnirtung,20,CA,1552402800,75,66.15,-65.72,-29.0,1.56
Rio Grande,75,BR,1552406400,65,-32.03,-52.1,28.0,5.1
Myitkyina,0,MM,1552407592,72,25.38,97.4,19.31,1.61
Aswan,0,EG,1552407587,22,24.09,32.9,28.86,1.06
Ribeira Grande,75,PT,1552404600,67,38.52,-28.7,16.0,8.2
Aklavik,90,CA,1552402800,76,68.22,-135.01,-24.0,3.01
Shiraz,0,IR,1552404600,32,29.61,52.54,11.67,0.86
Capitao Poco,92,BR,1552407593,96,-1.75,-47.06,26.86,2.46
Ponta do Sol,12,BR,1552407593,72,-20.63,-46.0,27.61,4.91
Beyneu,0,KZ,1552407593,49,45.32,55.19,9.86,1.21
Olinda,40,EC,1552407420,74,-2.03,-79.75,30.0,2.6
Barcelos,75,PT,1552407319,82,41.53,-8.62,16.67,3.6
Mpulungu,64,ZM,1552407594,77,-8.77,31.12,22.61,1.66
Paamiut,88,GL,1552407594,98,61.99,-49.67,-0.74,5.01
Flagstaff,75,US,1552407507,98,35.2,-111.65,7.78,0.76
Martinho Campos,0,BR,1552407595,69,-19.33,-45.24,29.46,4.21
Chandbali,68,IN,1552407595,100,20.77,86.74,23.41,2.31
Butaritari,80,KI,1552407595,100,3.07,172.79,26.36,4.36
Norman Wells,75,CA,1552402800,84,65.28,-126.83,-15.0,9.8
Zastron,64,ZA,1552407595,89,-30.3,27.08,18.31,3.21
Atambua,92,ID,1552407596,100,-9.11,124.89,25.66,2.11
Tuktoyaktuk,40,CA,1552402800,75,69.44,-133.03,-27.0,1.0
Haftoni,40,AZ,1552406400,81,38.76,48.76,12.0,4.6
Bambous Virieux,40,MU,1552407246,78,-20.34,57.76,28.0,1.0
Iskateley,76,RU,1552407596,90,67.68,53.15,-2.47,3.16
Les Escoumins,20,CA,1552407597,59,48.35,-69.4,-3.92,4.01
Rockhampton,12,AU,1552406400,88,-23.38,150.51,22.0,0.5
Praia,75,BR,1552402800,58,-20.25,-43.81,28.0,4.1
San Patricio,80,PY,1552407597,91,-26.98,-56.83,26.46,0.86
Seoul,0,KR,1552406400,38,37.57,126.98,2.0,2.1
Westport,75,IE,1552407183,100,53.8,-9.52,7.78,11.8
Trat,8,TH,1552407649,100,12.25,102.51,26.34,3.01
Helong,0,CN,1552407649,82,25.94,116.13,7.36,1.16
Waddan,0,LY,1552407649,42,29.16,16.14,19.76,6.61
Chitipa,88,MW,1552407650,89,-9.7,33.27,21.36,1.81
Mar del Plata,0,AR,1552407650,66,-46.43,-67.52,16.11,5.71
Kitimat,90,CA,1552407357,94,54.02,-128.69,1.11,1.5
Fort Nelson,75,CA,1552402800,67,58.81,-122.69,-5.0,2.1
Moree,0,AU,1552407482,35,-29.46,149.84,22.78,3.6
Talnakh,0,RU,1552407651,52,69.49,88.39,-23.57,1.21
Lasa,40,CY,1552407326,72,34.92,32.53,17.0,2.6
Escuintla,75,GT,1552406400,64,14.29,-90.78,31.0,8.2
Longyearbyen,75,NO,1552405800,60,78.22,15.63,-14.0,2.1
Mayo,90,CA,1552402800,73,63.59,-135.9,-5.0,1.0
Sao Jose da Coroa Grande,76,BR,1552407652,87,-8.9,-35.15,28.26,4.11
Vestmannaeyjar,75,IS,1552402800,69,63.44,-20.27,4.0,14.4
Lardos,40,GR,1552407364,77,36.09,28.02,17.22,2.1
Aykhal,48,RU,1552407653,73,65.95,111.51,-12.94,1.76
Champerico,5,MX,1552405440,54,16.38,-93.6,27.0,1.0
Awbari,20,LY,1552407653,18,26.59,12.77,26.81,5.86
Nuuk,20,GL,1552407174,61,64.17,-51.74,-9.0,8.7
Yining,32,CN,1552407654,83,29.04,114.56,7.81,1.01
Cabo San Lucas,90,MX,1552407389,93,22.89,-109.91,23.33,8.2
Galeana,48,MX,1552407617,63,24.83,-100.08,17.78,5.36
Kirakira,48,SB,1552407654,95,-10.46,161.92,29.54,3.71
Saint-Pierre,0,FR,1552407503,40,48.95,4.24,13.0,10.8
Tuatapere,0,NZ,1552407605,93,-46.13,167.69,12.22,0.89
Vao,80,EE,1552407657,82,59.1,26.19,-2.49,4.56
Hasaki,20,JP,1552407575,87,35.73,140.83,8.0,1.5
Bayanday,0,RU,1552407658,83,53.07,105.52,-6.54,2.91
Gidam,20,IN,1552407493,68,18.98,81.4,24.09,1.11
Port Alfred,8,ZA,1552407603,81,-33.59,26.89,21.67,1.79
Tiksi,0,RU,1552407658,61,71.64,128.87,-17.39,7.81
Mehamn,40,NO,1552405800,86,71.03,27.85,-1.0,7.2
Naron,75,ES,1552407605,100,43.52,-8.15,11.11,7.2
Caconda,48,AO,1552407659,48,-13.73,15.06,27.46,1.86
Lujan,0,AR,1552407659,48,-46.57,-67.67,16.04,6.46
Payo,64,ID,1552407659,80,-3.75,103.64,25.09,1.96
Kavieng,92,PG,1552407660,100,-2.57,150.8,24.54,5.16
Clyde River,20,CA,1552406400,69,70.47,-68.59,-23.0,4.6
Marystown,12,CA,1552407660,88,47.17,-55.16,2.41,5.56
Opuwo,0,NA,1552407660,16,-18.06,13.84,31.96,4.81
Hualmay,0,PE,1552407661,62,-11.1,-77.61,26.56,2.21
Axim,0,GH,1552407661,91,4.87,-2.24,29.54,6.46
Pevek,20,RU,1552407538,100,69.7,170.27,-31.79,1.96
Mnogovershinnyy,88,RU,1552407661,94,53.94,139.92,-5.07,1.16
Sheltozero,12,RU,1552407662,70,61.37,35.37,-6.14,4.81
Juneau,90,US,1552406160,93,58.3,-134.42,2.0,4.6
Anadyr,0,RU,1552407201,69,64.73,177.51,-23.0,6.0
Los Llanos de Aridane,20,ES,1552407603,64,28.66,-17.92,20.0,6.7
Carnarvon,0,ZA,1552407709,15,-30.97,22.13,25.81,7.96
Severo-Kurilsk,92,RU,1552407710,98,50.68,156.12,-1.79,13.21
Dwarka,75,IN,1552407307,56,28.58,77.04,25.0,3.1
Ahuimanu,75,US,1552407656,73,21.44,-157.84,22.0,3.6
Acari,44,BR,1552407710,48,-6.44,-36.64,32.46,6.16
Kailua,75,US,1552407656,73,21.39,-157.74,22.0,3.6
Dunedin,0,NZ,1552407286,85,-45.87,170.5,15.0,1.34
Kodiak,90,US,1552407670,75,39.95,-94.76,10.0,3.6
Torbay,40,CA,1552407614,65,47.66,-52.73,5.56,5.7
Madhogarh,56,IN,1552407712,37,28.31,76.03,20.09,4.16
Port Elizabeth,1,US,1552407700,52,39.31,-74.98,7.22,5.7
Leningradskiy,0,RU,1552407712,72,69.38,178.42,-26.94,5.91
Northam,40,GB,1552407682,75,51.04,-4.21,8.33,6.2
Pisco,0,PE,1552406400,30,-13.71,-76.2,22.0,3.6
Plettenberg Bay,48,ZA,1552407713,100,-34.05,23.37,19.16,2.56
Dikson,0,RU,1552407713,69,73.51,80.55,-20.82,2.56
Mahebourg,40,MU,1552407546,78,-20.41,57.7,28.0,1.0
Tsuyama,44,JP,1552407667,72,35.14,134.03,7.78,0.45
Staryy Nadym,68,RU,1552407714,90,65.61,72.68,-7.17,6.26
Concepcion del Oro,0,MX,1552407714,74,24.63,-101.42,13.76,1.66
Shenzhen,0,CN,1552407534,68,22.54,114.05,21.0,2.0
Tignere,0,CM,1552407714,16,7.37,12.65,34.01,3.26
Matata,32,NZ,1552407452,96,-37.89,176.76,18.89,5.41
Tamasopo,76,MX,1552407715,92,21.92,-99.39,17.79,1.51
Masuguru,24,MZ,1552407715,85,-11.38,38.46,28.46,0.96
Sao Filipe,0,CV,1552407715,76,14.9,-24.5,24.76,8.36
Haines Junction,56,CA,1552407715,67,60.75,-137.51,-13.79,0.91
Lazo,48,MD,1552407715,80,47.89,27.93,5.71,3.71
Port Lincoln,64,AU,1552407716,100,-34.72,135.86,14.34,2.96
Carauari,68,BR,1552407663,84,-4.88,-66.9,26.66,1.76
Muroto,0,JP,1552407716,100,33.37,134.14,7.96,4.46
Ukiah,90,US,1552407628,81,39.15,-123.21,11.11,1.86
Baykit,76,RU,1552407716,83,61.68,96.39,-4.92,3.41
Fairbanks,90,US,1552407510,92,64.84,-147.72,-1.67,1.5
Cukai,0,MY,1552406400,94,4.25,103.42,26.67,1.76
San Jeronimo,75,PE,1552406400,328,-13.65,-73.37,3.0,3.1
Jiangyou,92,CN,1552407717,95,31.78,104.73,12.09,0.91
Cloquet,40,US,1552407383,55,46.72,-92.46,1.11,6.2
Sambava,12,MG,1552407718,100,-14.27,50.17,27.69,2.21
Adrar,0,DZ,1552402800,21,27.87,-0.29,27.0,8.2
Minot,1,US,1552407387,58,48.23,-101.3,-1.0,8.2
Banda Aceh,24,ID,1552407718,100,5.56,95.32,23.59,1.06
Tessalit,0,ML,1552407769,16,20.2,1.01,28.11,6.91
Aksu,0,KZ,1552406400,85,52.04,76.93,-4.0,3.0
Port Moresby,90,PG,1552406400,100,-9.47,147.16,23.0,4.1
Yulara,0,AU,1552406400,30,-25.24,130.99,30.0,4.1
Port Macquarie,8,AU,1552407245,100,-31.43,152.91,22.0,1.66
Ust-Tsilma,48,RU,1552407770,89,65.44,52.15,-3.82,1.66
Faanui,12,PF,1552407770,100,-16.48,-151.75,28.01,4.26
Palembang,12,ID,1552406400,94,-2.99,104.76,26.0,1.0
Davila,20,PH,1552402800,83,18.47,120.58,25.0,0.5
Sioux Lookout,20,CA,1552407420,74,50.1,-91.92,-1.0,7.7
Doha,0,QA,1552406400,49,25.29,51.53,21.0,1.5
Pemba,75,MZ,1552406400,94,-12.97,40.52,27.78,3.1
Guerrero Negro,88,MX,1552407771,100,27.97,-114.04,12.36,6.36
Rocha,92,UY,1552407561,76,-34.48,-54.34,23.11,4.46
Ensenada,32,MX,1552407548,90,31.86,-116.62,12.22,1.56
Cienfuegos,20,CU,1552405800,45,22.15,-80.44,31.0,3.1
Saint-Francois,0,FR,1552407336,53,46.42,3.91,16.0,4.6
Zonguldak,92,TR,1552407773,89,41.25,31.83,12.26,2.11
Bauchi,12,NG,1552407773,18,10.31,9.85,36.19,2.31
Middelburg,12,ZA,1552407773,92,-25.77,29.46,20.76,1.91
Codrington,90,AU,1552407749,88,-28.95,153.24,25.0,1.06
Ojhar,0,IN,1552407773,34,20.09,73.93,23.81,2.71
Gambo,0,NG,1552407774,16,11.96,9.63,38.44,3.66
Cayenne,75,GF,1552406400,66,4.94,-52.33,29.0,5.1
Benguela,0,AO,1552407774,87,-12.58,13.4,29.29,5.11
Upernavik,12,GL,1552407695,100,72.79,-56.15,-18.74,5.36
Nouadhibou,0,MR,1552406400,18,20.93,-17.03,31.0,7.7
Saint-Denis,90,FR,1552407725,47,48.94,2.36,13.33,10.8
Mgandu,36,TZ,1552407775,52,-5.96,34.11,26.04,2.61
Ostrovnoy,0,RU,1552407775,89,68.05,39.51,-6.74,5.36
Airai,44,TL,1552407776,91,-8.93,125.41,21.34,0.56
Santa Marinella,0,IT,1552407707,19,42.04,11.87,15.56,6.7
Karratha,92,AU,1552407543,60,-20.74,116.85,30.09,3.76
Tilichiki,32,RU,1552407776,61,60.47,166.1,-22.04,1.71
Antofagasta,20,CL,1552406400,64,-23.65,-70.4,20.0,5.7
Chistogorskiy,92,RU,1552407777,91,53.98,87.38,-3.07,1.66
Port Blair,40,IN,1552402800,83,11.67,92.75,24.0,1.0
Joshimath,0,IN,1552407730,94,30.57,79.57,-12.67,0.26
Kloulklubed,40,PW,1552405800,88,7.04,134.26,25.0,2.6
Waipawa,76,NZ,1552404857,93,-39.94,176.59,16.11,1.16
Grindavik,0,IS,1552406400,100,63.84,-22.43,5.0,8.7
Ushumun,80,RU,1552407779,73,52.78,126.54,-4.09,2.41
Nanakuli,40,US,1552407656,93,21.39,-158.15,22.0,2.6
Juegang,0,CN,1552407492,75,32.31,121.18,6.67,0.89
Manokwari,44,ID,1552407829,100,-0.87,134.08,26.51,4.31
Nicoya,0,CR,1552402800,51,10.15,-85.45,30.0,13.4
Hearst,24,CA,1552407829,67,49.69,-83.67,-4.89,3.46
Lubango,0,AO,1552406400,26,-14.92,13.49,28.0,6.2
Salinopolis,68,BR,1552407830,98,-0.61,-47.36,27.41,4.36
Ormara,32,PK,1552407830,82,25.21,64.64,21.46,4.21
Hukuntsi,20,BW,1552407830,22,-23.98,21.76,34.31,5.01
Mairi,0,BR,1552407830,38,-11.71,-40.15,32.91,2.56
Geraldton,75,CA,1552406400,47,49.72,-86.95,1.0,7.7
Bonavista,48,CA,1552407342,80,48.65,-53.11,2.22,5.36
Hamilton,90,BM,1552407614,88,32.3,-64.78,20.0,12.3
Anloga,76,GH,1552407832,54,5.79,0.9,33.69,3.41
Motygino,92,RU,1552407832,78,58.18,94.69,-3.54,2.56
Puerto del Rosario,20,ES,1552406400,72,28.5,-13.86,22.0,4.6
Brae,20,GB,1552405800,65,60.4,-1.35,7.0,9.8
Avarua,64,CK,1552406400,78,-21.21,-159.78,27.0,3.6
Djambala,24,CG,1552407833,97,-2.55,14.76,26.36,2.56
Ancud,90,CL,1552406400,100,-41.87,-73.83,11.0,1.0
Narsaq,75,GL,1552405800,37,60.91,-46.05,2.0,3.91
Virginia Beach,1,US,1552407761,42,36.85,-75.98,12.0,5.1
Vanimo,100,PG,1552407834,100,-2.67,141.3,25.94,5.16
Murgab,0,TM,1552406400,47,37.5,61.97,15.0,2.1
High Rock,20,BS,1552406400,78,26.63,-78.28,27.0,5.1
Belle Fourche,1,US,1552407604,39,44.67,-103.85,7.0,4.6
Kiknur,92,RU,1552407835,88,57.3,47.21,-0.17,5.66
Leh,32,IN,1552407773,68,34.16,77.58,-22.69,0.51
Poum,90,MK,1552402800,74,41.28,20.71,0.0,3.6
Yangjiang,0,CN,1552407835,99,21.85,111.96,21.04,6.46
Quirinopolis,8,BR,1552407836,70,-18.45,-50.45,30.44,1.96
Gari,36,RU,1552407836,88,59.43,62.35,1.46,3.26
Uglegorskiy,92,RU,1552407836,67,48.24,41.25,5.86,0.61
Chikwawa,75,MW,1552402800,54,-16.03,34.79,26.0,3.6
Vila do Maio,8,CV,1552406400,35,15.13,-23.22,29.0,8.7
Progreso,75,UY,1552407386,88,-34.68,-56.22,22.22,4.6
Egvekinot,0,RU,1552407837,36,66.32,-179.17,-31.82,1.41
Klaksvik,92,FO,1552405800,75,62.23,-6.59,5.0,5.1
Navlya,75,RU,1552402800,74,52.83,34.5,-1.0,4.0
Merauke,68,ID,1552407622,100,-8.49,140.4,24.04,6.81
Lagoa,0,PT,1552407778,77,37.14,-8.45,22.22,5.1
Bad Waldsee,0,DE,1552407827,45,47.92,9.75,10.0,4.1
Morehead,1,US,1552407437,56,38.18,-83.43,5.56,1.61
Bonga,8,ET,1552407839,53,7.26,36.25,23.71,0.46
Half Moon Bay,75,US,1552407695,71,37.46,-122.43,12.78,6.7
Namibe,12,AO,1552407889,99,-15.19,12.15,26.26,4.76
Tiarei,92,PF,1552404600,83,-17.53,-149.33,24.0,1.0
Petropavlovsk-Kamchatskiy,76,RU,1552402800,72,53.05,158.65,-12.0,4.0
Portland,75,US,1552407859,93,45.52,-122.67,6.11,2.66
Chumikan,80,RU,1552407890,79,54.72,135.31,-6.94,4.71
Xinyu,0,CN,1552407890,71,27.8,114.93,10.41,2.26
Licheng,68,CN,1552407890,78,24.5,110.4,14.21,1.66
Lusambo,80,CD,1552407891,81,-4.97,23.44,27.16,0.76
Vikulovo,20,RU,1552407891,85,55.07,40.96,-3.69,3.41
Mayahi,0,NE,1552407891,13,13.95,7.67,38.36,3.36
Nueva Loja,40,EC,1552406400,66,0.08,-76.88,31.0,2.1
Salta,75,AR,1552406400,60,-24.79,-65.41,23.0,1.5
Det Udom,8,TH,1552406400,73,14.9,105.08,25.0,1.0
Iqaluit,20,CA,1552407770,68,63.75,-68.52,-25.56,5.1
Atasu,0,KZ,1552407892,67,48.68,71.64,-5.09,3.96
Puri,20,ID,1552406400,100,-7.54,112.45,26.0,1.5
Laguna,90,MX,1552405440,93,27.52,-110.01,15.0,3.6
Ust-Nera,0,RU,1552407893,0,64.57,143.24,-34.32,0.91
Show Low,90,US,1552407798,93,34.25,-110.03,6.0,2.16
Tsivilsk,0,RU,1552404600,98,55.87,47.47,0.0,6.0
Walvis Bay,0,NA,1552406531,56,-22.95,14.51,22.0,4.1
Puerto Colombia,0,CO,1552407402,58,10.99,-74.96,30.56,7.2
La Ronge,75,CA,1552402800,73,55.1,-105.3,-4.0,1.5
Wodonga,24,AU,1552407624,62,-36.12,146.89,13.89,1.96
Moberly,40,US,1552407868,60,39.42,-92.44,8.89,5.1
Awjilah,80,LY,1552407895,26,29.14,21.3,24.09,4.41
Husavik,12,CA,1552407640,85,50.56,-96.99,-4.44,4.47
San Andres,0,PH,1552407797,99,13.32,122.68,27.36,2.06
Mirabad,36,IR,1552407895,73,28.27,61.33,6.19,0.96
Belozerskoye,36,RU,1552407896,90,55.82,65.58,1.34,7.71
Hammerfest,75,NO,1552405800,86,70.66,23.68,-1.0,10.3
Omboue,20,GA,1552407896,99,-1.57,9.26,29.29,2.71
Poronaysk,80,RU,1552407896,94,49.22,143.1,-4.79,2.16
Piacabucu,44,BR,1552407763,59,-10.41,-36.43,32.09,6.01
Sosnogorsk,88,RU,1552407896,97,63.59,53.93,0.36,1.41
Aksha,32,RU,1552407897,55,50.28,113.29,-5.79,2.96
Victor Harbor,20,AU,1552407794,71,-35.55,138.62,14.44,2.1
Payakumbuh,24,ID,1552407897,78,-0.23,100.63,23.59,0.61
Lorengau,76,PG,1552407897,100,-2.02,147.27,25.94,4.46
Erenhot,24,CN,1552407897,52,43.65,111.97,-6.07,3.31
Vostok,20,RU,1552407898,92,46.45,135.83,-8.34,1.56
Kalemie,36,CD,1552407898,90,-5.95,29.2,26.66,4.46
Bobbili,80,IN,1552407898,97,18.58,83.35,21.21,1.61
Salalah,0,OM,1552405800,57,17.01,54.1,26.0,1.0
Chilmari,0,BD,1552407899,46,25.59,89.66,22.94,4.36
Mercedes,80,UY,1552407873,100,-33.25,-58.03,20.66,1.26
Sandnessjoen,0,NO,1552405800,99,66.02,12.63,1.0,11.3
Janakkala,40,FI,1552407905,73,60.93,24.67,-1.67,3.6
Muros,75,ES,1552407813,100,42.77,-9.06,11.67,3.6
Khani,0,GE,1552406400,39,41.96,42.96,17.0,3.6
Harper,90,US,1552407918,93,30.3,-99.24,18.89,4.6
Storm Lake,90,US,1552407610,100,42.64,-95.21,3.89,7.7
Mount Gambier,75,AU,1552402800,87,-37.83,140.78,9.0,2.6
Menongue,56,AO,1552407950,87,-14.66,17.68,22.56,1.41
Kavaratti,0,IN,1552407654,97,10.57,72.64,29.36,3.46
Port-Cartier,75,CA,1552407337,100,50.03,-66.88,1.11,5.7
Muisne,75,EC,1552406400,94,0.61,-80.02,25.0,3.1
Flinders,75,AU,1552407922,72,-34.58,150.85,21.11,2.6
Halifax,75,CA,1552407364,59,44.65,-63.58,3.89,7.2
Olbia,0,IT,1552404000,25,40.92,9.49,16.0,7.7
Tokur,56,RU,1552407952,77,53.13,132.9,-9.92,1.06
Kamsack,1,CA,1552406400,63,51.56,-101.9,-2.0,7.2
Margate,20,AU,1552407915,70,-43.03,147.26,8.33,4.1
Inhambane,75,MZ,1552406400,69,-23.87,35.38,27.78,3.6
Longonjo,75,AO,1552406400,100,-12.91,15.25,17.0,2.6
Sao Borja,76,BR,1552407725,100,-28.66,-56.0,24.56,3.66
San Cristobal,40,EC,1552406426,49,-0.39,-78.55,21.0,2.6
Kauhajoki,0,FI,1552407849,58,62.43,22.18,-3.0,2.1
Shingu,0,JP,1552407954,100,33.72,135.99,12.16,5.66
Xiashi,0,CN,1552407954,86,22.12,106.89,17.61,1.36
Mahibadhoo,0,MV,1552407954,97,3.78,72.97,29.21,7.01
Sept-Iles,75,CA,1552407337,61,50.2,-66.38,1.11,5.7
Dafeng,0,CN,1552407954,86,33.2,120.46,2.26,3.01
Kondagaon,24,IN,1552407955,62,19.59,81.66,24.11,1.96
Tupik,12,RU,1552407955,62,54.43,119.94,-16.69,1.06
Lodingen,0,NO,1552407366,33,68.41,16.0,-2.0,3.6
Lompoc,0,US,1552407910,81,34.64,-120.46,13.33,4.6
Nemuro,0,JP,1552407955,95,43.32,145.57,-0.09,7.71
Nabire,80,ID,1552407956,91,-3.36,135.5,20.94,0.76
Raudeberg,75,NO,1552407903,96,61.99,5.14,4.0,8.7
Boden,0,SE,1552405800,44,65.83,21.69,-7.0,2.1
Gorontalo,76,ID,1552407951,94,0.54,123.06,23.19,0.96
San Carlos,68,VE,1552407743,51,9.66,-68.59,29.04,1.71
Kulhudhuffushi,0,MV,1552407684,100,6.62,73.07,28.94,4.01
Anton Lizardo,75,MX,1552407360,62,19.05,-95.98,30.0,3.6
Pahrump,75,US,1552407927,66,36.21,-115.98,11.67,2.6
